project,run,known_circ_found
PRJNA347654,SRR4413213,False
PRJNA347654,SRR4413212,False
PRJNA347654,SRR4413216,False
PRJNA347654,SRR4413214,False
PRJNA347654,SRR4413211,False
PRJNA347654,SRR4413215,False
PRJNA451208,SRR7050804,True
PRJNA451208,SRR7050806,True
PRJNA451208,SRR7050840,True
PRJNA451208,SRR7050865,True
PRJNA451208,SRR7050862,True
PRJNA451208,SRR7050821,True
PRJNA451208,SRR7050802,True
PRJNA451208,SRR7050830,True
PRJNA451208,SRR7050819,True
PRJNA451208,SRR7050808,True
PRJNA451208,SRR7050838,True
PRJNA451208,SRR7050845,True
PRJNA451208,SRR7050839,True
PRJNA451208,SRR7050861,True
PRJNA451208,SRR7050869,True
PRJNA451208,SRR7050803,True
PRJNA451208,SRR7050850,True
PRJNA451208,SRR7050858,True
PRJNA451208,SRR7050805,True
PRJNA451208,SRR7050841,True
PRJNA451208,SRR7050868,True
PRJNA451208,SRR7050866,True
PRJNA451208,SRR7050817,True
PRJNA451208,SRR7050812,True
PRJNA451208,SRR7050871,True
PRJNA451208,SRR7050823,True
PRJNA451208,SRR7050851,True
PRJNA451208,SRR7050809,True
PRJNA451208,SRR7050867,True
PRJNA451208,SRR7050857,True
PRJNA451208,SRR7050833,True
PRJNA451208,SRR7050824,True
PRJNA451208,SRR7050860,True
PRJNA451208,SRR7050829,True
PRJNA451208,SRR7050855,True
PRJNA451208,SRR7050828,True
PRJNA451208,SRR7050852,True
PRJNA451208,SRR7050853,True
PRJNA451208,SRR7050811,True
PRJNA451208,SRR7050834,True
PRJNA451208,SRR7050842,True
PRJNA451208,SRR7050814,True
PRJNA451208,SRR7050836,True
PRJNA451208,SRR7050863,True
PRJNA451208,SRR7050832,True
PRJNA451208,SRR7050847,True
PRJNA451208,SRR7050826,True
PRJNA451208,SRR7050859,True
PRJNA451208,SRR7050837,True
PRJNA451208,SRR7050856,True
PRJNA451208,SRR7050835,True
PRJNA451208,SRR7050854,True
PRJNA451208,SRR7050810,True
PRJNA451208,SRR7050820,True
PRJNA451208,SRR7050827,True
PRJNA451208,SRR7050873,True
PRJNA451208,SRR7050843,True
PRJNA451208,SRR7050872,True
PRJNA451208,SRR7050846,True
PRJNA451208,SRR7050807,True
PRJNA451208,SRR7050816,True
PRJNA451208,SRR7050864,True
PRJNA451208,SRR7050831,True
PRJNA451208,SRR7050825,True
PRJNA451208,SRR7050844,True
PRJNA451208,SRR7050870,True
PRJNA451208,SRR7050848,True
PRJNA451208,SRR7050815,True
PRJNA451208,SRR7050822,True
PRJNA324710,SRR3644933,False
PRJNA324710,SRR3644938,False
PRJNA324710,SRR3644935,False
PRJNA324710,SRR3644936,False
PRJNA324710,SRR3644934,False
PRJNA324710,SRR3644937,False
PRJNA338690,SRR4020096,False
PRJNA338690,SRR4020097,False
PRJNA338690,SRR4020098,False
PRJNA338690,SRR4020101,False
PRJNA338690,SRR4020100,False
PRJNA338690,SRR4020099,False
PRJNA395590,SRR5863617,True
PRJNA395590,SRR5863684,False
PRJNA395590,SRR5863712,True
PRJNA395590,SRR5863686,True
PRJNA395590,SRR5863605,False
PRJNA395590,SRR5863722,True
PRJNA395590,SRR5863710,False
PRJNA395590,SRR5863667,True
PRJNA395590,SRR5863668,True
PRJNA395590,SRR5863672,True
PRJNA395590,SRR5863598,False
PRJNA395590,SRR5863661,True
PRJNA395590,SRR5863679,True
PRJNA395590,SRR5863711,True
PRJNA395590,SRR5863733,True
PRJNA395590,SRR5863626,True
PRJNA395590,SRR5863596,False
PRJNA395590,SRR5863618,True
PRJNA395590,SRR5863680,False
PRJNA395590,SRR5863645,False
PRJNA395590,SRR5863717,False
PRJNA395590,SRR5863639,False
PRJNA395590,SRR5863610,False
PRJNA395590,SRR5863604,False
PRJNA395590,SRR5863676,True
PRJNA395590,SRR5863700,True
PRJNA395590,SRR5863738,True
PRJNA395590,SRR5863732,True
PRJNA395590,SRR5863669,True
PRJNA395590,SRR5863695,True
PRJNA395590,SRR5863677,True
PRJNA395590,SRR5863637,False
PRJNA395590,SRR5863714,True
PRJNA395590,SRR5863683,False
PRJNA395590,SRR5863657,True
PRJNA395590,SRR5863607,True
PRJNA395590,SRR5863647,False
PRJNA395590,SRR5863660,True
PRJNA395590,SRR5863678,True
PRJNA395590,SRR5863636,False
PRJNA395590,SRR5863663,True
PRJNA395590,SRR5863616,True
PRJNA395590,SRR5863653,True
PRJNA395590,SRR5863622,True
PRJNA395590,SRR5863600,False
PRJNA395590,SRR5863725,True
PRJNA395590,SRR5863644,False
PRJNA395590,SRR5863611,False
PRJNA395590,SRR5863651,True
PRJNA395590,SRR5863697,True
PRJNA395590,SRR5863666,True
PRJNA395590,SRR5863632,False
PRJNA395590,SRR5863688,True
PRJNA395590,SRR5863646,False
PRJNA395590,SRR5863691,True
PRJNA395590,SRR5863635,False
PRJNA395590,SRR5863643,False
PRJNA395590,SRR5863633,False
PRJNA395590,SRR5863703,True
PRJNA395590,SRR5863602,False
PRJNA395590,SRR5863671,True
PRJNA395590,SRR5863603,False
PRJNA395590,SRR5863652,True
PRJNA395590,SRR5863687,True
PRJNA395590,SRR5863612,False
PRJNA395590,SRR5863718,True
PRJNA395590,SRR5863735,True
PRJNA395590,SRR5863658,True
PRJNA395590,SRR5863685,False
PRJNA395590,SRR5863731,True
PRJNA395590,SRR5863654,True
PRJNA395590,SRR5863716,False
PRJNA395590,SRR5863730,True
PRJNA395590,SRR5863642,False
PRJNA395590,SRR5863613,False
PRJNA395590,SRR5863693,True
PRJNA395590,SRR5863629,True
PRJNA395590,SRR5863737,True
PRJNA395590,SRR5863723,True
PRJNA395590,SRR5863705,False
PRJNA395590,SRR5863608,False
PRJNA395590,SRR5863694,True
PRJNA395590,SRR5863720,False
PRJNA395590,SRR5863707,True
PRJNA395590,SRR5863699,True
PRJNA395590,SRR5863734,True
PRJNA395590,SRR5863599,False
PRJNA395590,SRR5863673,True
PRJNA395590,SRR5863729,True
PRJNA395590,SRR5863726,True
PRJNA395590,SRR5863634,False
PRJNA395590,SRR5863690,True
PRJNA395590,SRR5863706,False
PRJNA395590,SRR5863724,True
PRJNA395590,SRR5863648,False
PRJNA395590,SRR5863689,True
PRJNA395590,SRR5863615,True
PRJNA395590,SRR5863601,False
PRJNA395590,SRR5863638,False
PRJNA395590,SRR5863719,False
PRJNA395590,SRR5863709,True
PRJNA395590,SRR5863655,True
PRJNA395590,SRR5863692,True
PRJNA395590,SRR5863621,True
PRJNA395590,SRR5863708,False
PRJNA395590,SRR5863704,True
PRJNA395590,SRR5863597,False
PRJNA395590,SRR5863623,True
PRJNA395590,SRR5863662,True
PRJNA395590,SRR5863721,False
PRJNA395590,SRR5863696,True
PRJNA395590,SRR5863614,True
PRJNA395590,SRR5863675,True
PRJNA395590,SRR5863649,False
PRJNA395590,SRR5863625,True
PRJNA395590,SRR5863681,False
PRJNA395590,SRR5863630,True
PRJNA395590,SRR5863656,True
PRJNA395590,SRR5863609,False
PRJNA395590,SRR5863659,True
PRJNA395590,SRR5863606,False
PRJNA395590,SRR5863620,True
PRJNA395590,SRR5863641,False
PRJNA395590,SRR5863713,True
PRJNA395590,SRR5863701,True
PRJNA395590,SRR5863640,False
PRJNA395590,SRR5863728,True
PRJNA395590,SRR5863624,True
PRJNA395590,SRR5863727,True
PRJNA395590,SRR5863664,True
PRJNA395590,SRR5863619,True
PRJNA395590,SRR5863739,True
PRJNA395590,SRR5863665,True
PRJNA395590,SRR5863670,True
PRJNA395590,SRR5863627,True
PRJNA395590,SRR5863674,True
PRJNA395590,SRR5863628,True
PRJNA395590,SRR5863631,True
PRJNA395590,SRR5863650,True
PRJNA395590,SRR5863702,True
PRJNA395590,SRR5863682,True
PRJNA395590,SRR5863736,True
PRJNA395590,SRR5863698,True
PRJNA395590,SRR5863715,True
