project,run,known_circ_found
PRJNA482372,SRR7551523,False
PRJNA482372,SRR7551517,False
PRJNA482372,SRR7551522,False
PRJNA482372,SRR7551515,False
PRJNA482372,SRR7551524,True
PRJNA482372,SRR7551529,True
PRJNA482372,SRR7551520,False
PRJNA482372,SRR7551521,False
PRJNA482372,SRR7551528,True
PRJNA482372,SRR7551519,False
PRJNA482372,SRR7551518,False
PRJNA482372,SRR7551516,False
PRJNA482372,SRR7551514,False
PRJNA482372,SRR7551513,False
PRJNA482372,SRR7551525,True
PRJNA482372,SRR7551512,False
PRJNA383878,SRR5483037,False
PRJNA383878,SRR5483035,False
PRJNA383878,SRR5483036,False
PRJNA383878,SRR5483041,False
PRJNA383878,SRR5483038,False
PRJNA383878,SRR5483043,False
PRJNA383878,SRR5483039,False
PRJNA383878,SRR5483044,False
PRJNA383878,SRR5483045,False
PRJNA383878,SRR5483042,False
PRJNA383878,SRR5483040,False
PRJNA527289,SRR8734763,True
PRJNA527289,SRR8734769,True
PRJNA527289,SRR8734762,True
PRJNA527289,SRR8734765,True
PRJNA527289,SRR8734767,True
PRJNA527289,SRR8734766,True
PRJNA527289,SRR8734757,True
PRJNA527289,SRR8734771,True
PRJNA527289,SRR8734764,True
PRJNA527289,SRR8734758,True
PRJNA527289,SRR8734756,True
PRJNA527289,SRR8734768,True
PRJNA527289,SRR8734761,True
PRJNA527289,SRR8734759,True
PRJNA527289,SRR8734770,True
PRJNA527289,SRR8734760,True
PRJNA509687,SRR8314937,True
PRJNA509687,SRR8314961,True
PRJNA509687,SRR8314969,True
PRJNA509687,SRR8314933,True
PRJNA509687,SRR8314976,True
PRJNA509687,SRR8314925,True
PRJNA509687,SRR8314973,True
PRJNA509687,SRR8314957,True
PRJNA509687,SRR8314920,True
PRJNA509687,SRR8314985,True
PRJNA509687,SRR8314921,True
PRJNA509687,SRR8314963,True
PRJNA509687,SRR8314916,True
PRJNA509687,SRR8314987,True
PRJNA509687,SRR8314939,True
PRJNA509687,SRR8314932,True
PRJNA509687,SRR8314983,True
PRJNA509687,SRR8314972,True
PRJNA509687,SRR8314938,True
PRJNA509687,SRR8314959,True
PRJNA509687,SRR8314941,True
PRJNA509687,SRR8314934,True
PRJNA509687,SRR8314917,True
PRJNA509687,SRR8314971,True
PRJNA509687,SRR8314970,True
PRJNA509687,SRR8314981,True
PRJNA509687,SRR8314990,True
PRJNA509687,SRR8314947,True
PRJNA509687,SRR8314991,True
PRJNA509687,SRR8314930,True
PRJNA509687,SRR8314955,True
PRJNA509687,SRR8314953,True
PRJNA509687,SRR8314927,True
PRJNA509687,SRR8314960,True
PRJNA509687,SRR8314988,True
PRJNA509687,SRR8314942,True
PRJNA509687,SRR8314954,True
PRJNA509687,SRR8314940,True
PRJNA509687,SRR8314956,True
PRJNA509687,SRR8314936,True
PRJNA509687,SRR8314986,True
PRJNA509687,SRR8314918,True
PRJNA509687,SRR8314966,True
PRJNA509687,SRR8314965,True
PRJNA509687,SRR8314951,True
PRJNA509687,SRR8314924,True
PRJNA509687,SRR8314964,True
PRJNA509687,SRR8314923,True
PRJNA509687,SRR8314968,True
PRJNA509687,SRR8314977,True
PRJNA509687,SRR8314982,True
PRJNA509687,SRR8314958,True
PRJNA509687,SRR8314944,True
PRJNA509687,SRR8314943,True
PRJNA509687,SRR8314967,True
PRJNA509687,SRR8314962,True
PRJNA509687,SRR8314989,True
PRJNA509687,SRR8314926,True
PRJNA509687,SRR8314935,True
PRJNA509687,SRR8314946,True
PRJNA509687,SRR8314948,True
PRJNA509687,SRR8314928,True
PRJNA509687,SRR8314975,True
PRJNA509687,SRR8314929,True
PRJNA509687,SRR8314978,True
PRJNA509687,SRR8314980,True
PRJNA509687,SRR8314949,True
PRJNA509687,SRR8314919,True
PRJNA509687,SRR8314952,True
PRJNA509687,SRR8314922,True
PRJNA509687,SRR8314974,True
PRJNA509687,SRR8314984,True
PRJNA509687,SRR8314979,True
PRJNA224073,SRR1015693,False
PRJNA224073,SRR1015692,False
PRJNA224073,SRR1015683,False
PRJNA224073,SRR1015682,False
PRJNA224073,SRR1015681,False
PRJNA224073,SRR1015699,False
PRJNA224073,SRR1015690,False
PRJNA224073,SRR1015698,False
PRJNA224073,SRR1015684,False
PRJNA224073,SRR1015688,False
PRJNA224073,SRR1015685,False
PRJNA224073,SRR1015691,False
PRJNA224073,SRR1015680,False
PRJNA224073,SRR1015686,False
PRJNA224073,SRR1015689,False
PRJNA224073,SRR1015696,False
PRJNA224073,SRR1015687,False
PRJNA224073,SRR1015695,False
PRJNA224073,SRR1015694,False
PRJNA224073,SRR1015697,False
PRJNA590731,SRR10502970,False
PRJNA590731,SRR10502969,False
PRJNA590731,SRR10502968,False
PRJNA590731,SRR10502971,False
PRJNA590731,SRR10502972,False
PRJNA590731,SRR10502973,False
PRJNA672095,SRR12900418,True
PRJNA672095,SRR12900419,True
PRJNA672095,SRR12900413,True
