chr	start	end
chr11	6403365	6403515
chr11	65855031	65855186
chr11	65855039	65855186
chr11	65855032	65855186
chr11	65855080	65855186
chr11	70435573	70435725
chr7	19698345	19698403
chr12	54233753	54240435
chr12	111448640	111449177
chr19	48645848	48645910
chr15	82043408	82043896
chr1	93330468	93330754
chr4	137521493	137521575
chrX	23364498	23364955
chrX	49033476	49040515
chrX	71556009	71556711
chrX	74019044	74019899
chrX	74232085	74233148
chrX	74255877	74256297
chrX	74255877	74256136
chrX	74271025	74271555
chrX	74741280	74741326
chrX	101412006	101412137
chrX	101640323	101640785
chrX	103609218	103609303
chrX	111399638	111400207
chrX	138966477	138966813
chr8	64691348	64692642
chr8	70377257	70377671
chr8	72434171	72434789
chr8	79665144	79665627
chr8	79665144	79665839
chr8	79665144	79665559
chr8	79665144	79665813
chr8	79665144	79665425
chr8	79665144	79665704
chr8	79665144	79665750
chr8	80663517	80663551
chr8	80775782	80776160
chr8	84536459	84537114
chr8	105338537	105338853
chr8	105346726	105347652
chr8	105676179	105677119
chr8	109624487	109625077
chr8	117734707	117736405
chr8	124529057	124529708
chr6	3288701	3289003
chr6	30643629	30644569
chr6	35234817	35235146
chr6	38180545	38181313
chr6	71920753	71922569
chr6	71926812	71927245
chr6	73121443	73121779
chr6	88844752	88845065
chr6	107530244	107530872
chr6	145808563	145808915
chr6	147535792	147536506
chr7	4061619	4063068
chr7	6415245	6415924
chr7	7246408	7247131
chr7	15951323	15952065
chr7	16201409	16201929
chr7	19698335	19698403
chr7	23355278	23357155
chr7	28094200	28094572
chr7	28142785	28143386
chr7	33650292	33653203
chr7	43950737	43951213
chr7	44393568	44394063
chr7	45722655	45722721
chr7	55926527	55927023
chr7	67267489	67268066
chr7	70386549	70386828
chr7	73440538	73441585
chr7	78593897	78594398
chr7	78711333	78712218
chr7	78711756	78712218
chr7	79459638	79459688
chr7	80743309	80743792
chr7	82273995	82274453
chr7	92567742	92568364
chr7	98265834	98266136
chr7	100430827	100431055
chr7	102223491	102224541
chr7	102465814	102466267
chr7	112023747	112024293
chr7	112856065	112856591
chr7	120283242	120283666
chr7	120375157	120375869
chr7	120465803	120466225
chr7	120503508	120504330
chr7	130515797	130516104
chr7	130542325	130542679
chr7	133678435	133678545
chr7	135674383	135675254
chr7	137234903	137235857
chr7	139677994	139678489
chr7	141266056	141266389
chr3	27468197	27468865
chr3	28625223	28625381
chr3	28650198	28650740
chr3	28708678	28710992
chr3	37011005	37011111
chr3	51395300	51396426
chr3	79085321	79085744
chr3	79668729	79670846
chr3	84976385	84977077
chr3	88058087	88058129
chr3	89232116	89232504
chr3	89244111	89244149
chr3	89358215	89358561
chr3	116010697	116011405
chr3	116593825	116594638
chr3	117672035	117672346
chr3	117831104	117832839
chr3	117832325	117832839
chr3	122426755	122427123
chr3	124405213	124406330
chr3	124413843	124414311
chr3	135228916	135229818
chr3	136868727	136869188
chr3	136888025	136888677
chr15	37002867	37003685
chr15	37005862	37007127
chr15	41826053	41826688
chr15	44491137	44492584
chr15	44570050	44570883
chr15	73567167	73567424
chr15	74571516	74571851
chr15	74798828	74799418
chr15	78293367	78294341
chr15	78293549	78294341
chr15	81889435	81890398
chr15	82197787	82198195
chr15	83000979	83001414
chr15	85126746	85127467
chr15	89190471	89190873
chr15	90225855	90227037
chr15	91872578	91873056
chr15	92399834	92400373
chr15	98721177	98721738
chr15	98727752	98727956
chr11	4069351	4069465
chr11	6403365	6403513
chr11	6622103	6623815
chr11	11942880	11943881
chr11	16992355	16992887
chr11	21268864	21269482
chr11	24560522	24561475
chr11	30149639	30149929
chr11	34083470	34083890
chr11	43433820	43434522
chr11	45887551	45887756
chr11	59809045	59809659
chr11	60932272	60932625
chr11	65854816	65855186
chr11	65855088	65855186
chr11	66146379	66147192
chr11	70435573	70435883
chr11	74866254	74866568
chr11	76133815	76134408
chr11	77021491	77021933
chr11	77021491	77021937
chr11	79412759	79413518
chr11	83774509	83775350
chr11	84880512	84881259
chr11	84888168	84888355
chr11	99492285	99492668
chr11	106097113	106097981
chr11	106761297	106761572
chr11	117077203	117078174
chr11	118502433	118502841
chr11	120432557	120433047
chr1	10116085	10116404
chr1	33479752	33480457
chr1	36173788	36174078
chr1	43960968	43967002
chr1	43960968	43966618
chr1	51783029	51784436
chr1	58102651	58103143
chr1	58153573	58154244
chr1	69858611	69859086
chr1	75415743	75416576
chr1	75423948	75424307
chr1	75492144	75492505
chr1	119616656	119617363
chr1	120487780	120488146
chr1	150819101	150819358
chr1	151448498	151448539
chr1	167326021	167326496
chr1	173761031	173761598
chr1	173761278	173761598
chr1	173933355	173933782
chr1	174330637	174330702
chr1	183314083	183314412
chr4	5729658	5730231
chr4	75949960	75950650
chr4	82352871	82353522
chr4	82948769	82950243
chr4	86228055	86228728
chr4	98382578	98383067
chr4	101187574	101189078
chr4	104479276	104480154
chr4	104479276	104480994
chr4	113041683	113046739
chr4	113485919	113486582
chr4	116325349	116326072
chr4	118158438	118160133
chr4	118167635	118168384
chr4	133190260	133191294
chr4	137521493	137521572
chr4	140537456	140542633
chr4	140552056	140552527
chr4	141071598	141072528
chr4	141072146	141072528
chr14	21092442	21093036
chr14	21092442	21092647
chr14	31150082	31150147
chr14	32418017	32418785
chr14	32448182	32448928
chr14	33009270	33009457
chr14	33364515	33365407
chr14	47266511	47266980
chr14	47505133	47506846
chr14	47554149	47554559
chr14	55524252	55524922
chr14	56614766	56615714
chr14	60970183	60970828
chr14	63375069	63375895
chr14	66638461	66639020
chr14	67806762	67807261
chr14	70124245	70124754
chr14	70492601	70492778
chr14	70977310	70977765
chr14	79474970	79476802
chr14	101898700	101899851
chr14	101914338	101914659
chr10	11081964	11082248
chr10	13105894	13106305
chr10	18215428	18216259
chr10	19893066	19894249
chr10	32889199	32889642
chr10	60383951	60384859
chr10	60399977	60400413
chr10	60405072	60406284
chr10	60425619	60426607
chr10	63168856	63169254
chr10	68751329	68752568
chr10	74482178	74482564
chr10	75178024	75178495
chr10	82754326	82754964
chr10	88906407	88906917
chr10	109866116	109866930
chr10	123167956	123168226
chr10	127179009	127179624
chr2	10557711	10558239
chr2	20340110	20340416
chr2	24630905	24631898
chr2	29154097	29154518
chr2	29902342	29902886
chr2	32004472	32005007
chr2	32010366	32010412
chr2	32220177	32220527
chr2	50296903	50297305
chr2	69965516	69966499
chr2	71367334	71367512
chr2	72239155	72239669
chr2	75665302	75665439
chr2	76942582	76942846
chr2	76976639	76977092
chr2	77214362	77215061
chr2	77414282	77414572
chr2	77518968	77519427
chr2	80644280	80645520
chr2	104436500	104436996
chr2	121340441	121340750
chr2	127746316	127747999
chr2	127867367	127868332
chr2	130777819	130778416
chr2	148690234	148690303
chr2	152415723	152416840
chr2	156125768	156126318
chr2	162661797	162663233
chr2	166274133	166275803
chr2	167421766	167422904
chr2	173023382	173023765
chr2	174420434	174421598
chr5	5194598	5195277
chr5	21302925	21303063
chr5	32352263	32353194
chr5	65969270	65970072
chr5	69585876	69586464
chr5	72203564	72205135
chr5	72203564	72203625
chr5	74627598	74628119
chr5	88665418	88665756
chr5	107539224	107539450
chr5	107574181	107575231
chr5	112840295	112840619
chr5	112877193	112877984
chr5	116476694	116477058
chr5	124646817	124647126
chr5	124713459	124713800
chr5	127553348	127554565
chr5	129685568	129685914
chr5	129978629	129979552
chr5	129997581	129997779
chr5	134196606	134197014
chr5	134602734	134603098
chr5	137306277	137307045
chr5	137328106	137328436
chr5	137466247	137466952
chr5	139050235	139050657
chr5	140881420	140882001
chr5	144244616	144245132
chr5	146833172	146834066
chr5	149501820	149503522
chr5	150557246	150557748
chr17	12969083	12969404
chr17	29077023	29078890
chr17	29260860	29261736
chr17	29543596	29545484
chr17	29679083	29680192
chr17	29846827	29849156
chr17	30758409	30758829
chr17	31218134	31218877
chr17	38555940	38556581
chr17	46025125	46025346
chr17	47431966	47433335
chr17	47674921	47675759
chr17	57413762	57414913
chr17	67899922	67901281
chr17	75389580	75389923
chr17	78683753	78684229
chr17	78766624	78766879
chr17	80051675	80053522
chr9	3443048	3443732
chr9	3456850	3457372
chr9	8961554	8961842
chr9	9002375	9003619
chr9	74953279	74953479
chr9	88413204	88413480
chr9	95462167	95462702
chr9	96602162	96602712
chr9	100544828	100545994
chr9	106951345	106952311
chr9	109146111	109146546
chr9	117056410	117056736
chr9	121951249	121951848
chr9	122992003	122992473
chr16	18791860	18793177
chr16	18797092	18797348
