chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr11	6598220	6598268	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,22,22,15,32,5,44,3,18,59,65,39,36	14,10,34,43,32,26,48,43,15,17,45,7,62,33	49	337	0.6044843049327354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.04649879268713349	1.0	1.0
chr11	31802743	31802829	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,9,19,0,1708,94,1,247,3445,122,14	0,25,56,96,1327,82,1024,14,0,0,12,1,14,8	87	375	1.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0	nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0	0.09090909090909091	1.0	1.0
chr11	65855088	65855186	3,1,0,1,1,1,0,1,0,4,0,1,1	0,3,0,0,1,0,0,4,2,0,4,1,1,3	2939,4593,5377,5509,6579,3697,2743,151,3942,3519,2828,6974,855	4166,7855,7504,6463,2208,4553,2396,3505,3209,3906,2651,3120,4404,9031	99	387	0.003974366874114232,0.0008503737689357083,0.0,0.0007090795158470886,0.000593824228028561,0.0010562515352493529,0.0,0.025234741784037618,0.0,0.0044237545330623185,0.0,0.0005602094922938505,0.004551227773073596	0.0,0.001490743522777227,0.0,0.0,0.001767292754099703,0.0,0.0,0.004441345831073806,0.002430408365126535,0.0,0.005863702996624975,0.0012513459243954639,0.0008868356466682492,0.0012968734291746165	0.0018394641920646433	1.0	1.0
chrX	37839369	37839438	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,66,32,1,36,54,201,17,30,227,277,53,129	0,2,62,13,151,16,171,619,50,32,73,39,690,110	70	358	0.12749287749287752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00980714442252904	1.0	1.0
chrX	74079855	74079908	1,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,16,0,0,14,24,3,0	0,1,0,4,10,0,7,7,0,0,9,0,10,0	54	342	1.0,1.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan	nan,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,nan,0.0,nan	0.2857142857142857	0.37317827896655353	1.0
chrX	153725842	153725906	2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	89,110,171,376,246,89,118,4,118,63,104,211,3	67,327,367,183,71,155,71,2,124,79,11,87,7,197	65	353	0.10876598366969648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.00836661412843819	1.0	1.0
chr15	79004297	79004468	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,2,2,0,0,1,2,4,0,0,2,1,4,2	172	460	1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan	nan,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0	0.5	0.07312999296468736	1.0
chr15	82372300	82372389	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	12980,16337,15954,14836,9560,18344,10310,538,13815,9861,9495,9950,4476	15775,2884,13362,11907,10759,8340,8685,5888,20024,10248,5496,13821,4630,10416	90	378	0.0003234700636158827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	2.488231258583713e-05	1.0	1.0
chr15	101708801	101708875	2,0,0,0,0,0,0,1,0,0,0,0,0	0,5,6,0,0,0,0,0,0,0,0,2,0,0	33,28,46,36,42,41,170,2,36,184,162,36,25	36,14,53,46,120,32,200,53,48,28,29,38,33,67	75	363	0.2268041237113403,0.0,0.0,0.0,0.0,0.0,0.0,0.7076023391812866,0.0,0.0,0.0,0.0,0.0	0.0,0.6335078534031413,0.3539736713798147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203020134228188,0.0,0.0	-0.013158412564000535	0.1282709008039894	1.0
chr16	24721992	24722084	1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,6,0,0,10,5,0,15	0,0,0,0,8,0,13,13,2,0,5,1,14,0	93	381	0.8037974683544304,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,nan,0.0	nan,nan,nan,1.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan	0.0357594936708861	1.0	1.0
