chr	start	end	type	strand	gene_id	gene_name	subtype	exon_start	exon_end	len
chr11	6598220	6598268	intergenic	.	.	.	intergenic	6598220	6598268	49
chr11	31802743	31802829	intergenic	.	.	.	intergenic	31802743	31802829	87
chr11	65855088	65855186	intergenic	.	.	.	intergenic	65855088	65855186	99
chrX	37839369	37839438	intergenic	.	.	.	intergenic	37839369	37839438	70
chrX	74079855	74079908	intergenic	.	.	.	intergenic	74079855	74079908	54
chrX	153725842	153725906	intergenic	.	.	.	intergenic	153725842	153725906	65
chr15	79004297	79004468	intergenic	.	.	.	intergenic	79004297	79004468	172
chr15	82372300	82372389	intergenic	.	.	.	intergenic	82372300	82372389	90
chr15	101708801	101708875	intergenic	.	.	.	intergenic	101708801	101708875	75
chr16	24721992	24722084	intergenic	.	.	.	intergenic	24721992	24722084	93
chr2	25231566	25231667	intergenic	.	.	.	intergenic	25231566	25231667	102
chr2	75661818	75661855	intergenic	.	.	.	intergenic	75661818	75661855	38
chr2	121337773	121337821	intergenic	.	.	.	intergenic	121337773	121337821	49
chr9	27328707	27328777	intergenic	.	.	.	intergenic	27328707	27328777	71
chr9	110171068	110171132	intergenic	.	.	.	intergenic	110171068	110171132	65
chr9	114597664	114597794	intergenic	.	.	.	intergenic	114597664	114597794	131
chr9	121784883	121785051	intergenic	.	.	.	intergenic	121784883	121785051	169
chr9	124353430	124353467	intergenic	.	.	.	intergenic	124353430	124353467	38
chr3	126597505	126597547	intergenic	.	.	.	intergenic	126597505	126597547	43
chr3	129280366	129280422	intergenic	.	.	.	intergenic	129280366	129280422	57
chr6	117907209	117907476	intergenic	.	.	.	intergenic	117907209	117907476	268
chr6	130052896	130052964	intergenic	.	.	.	intergenic	130052896	130052964	69
chr1	36428247	36428299	intergenic	.	.	.	intergenic	36428247	36428299	53
chr1	52464589	52464784	intergenic	.	.	.	intergenic	52464589	52464784	196
chr1	182887532	182887586	intergenic	.	.	.	intergenic	182887532	182887586	55
chr4	109710859	109710924	intergenic	.	.	.	intergenic	109710859	109710924	66
chr4	137521493	137521575	intergenic	.	.	.	intergenic	137521493	137521575	83
chr7	44104500	44104621	intergenic	.	.	.	intergenic	44104500	44104621	122
chr7	79459638	79459688	intergenic	.	.	.	intergenic	79459638	79459688	51
chr7	141655248	141655308	intergenic	.	.	.	intergenic	141655248	141655308	61
chr7	141841401	141841509	intergenic	.	.	.	intergenic	141841401	141841509	109
chr12	55410283	55410331	intergenic	.	.	.	intergenic	55410283	55410331	49
chr12	56591167	56591224	intergenic	.	.	.	intergenic	56591167	56591224	58
chr5	72203564	72203625	intergenic	.	.	.	intergenic	72203564	72203625	62
chr5	136988472	136988544	intergenic	.	.	.	intergenic	136988472	136988544	73
chr13	94448516	94448591	intergenic	.	.	.	intergenic	94448516	94448591	76
chr8	23087105	23087184	intergenic	+	.	.	intergenic	23087105	23087184	80
chr17	32929073	32929137	intergenic	.	.	.	intergenic	32929073	32929137	65
chr17	35011899	35011965	intergenic	.	.	.	intergenic	35011899	35011965	67
chr17	35844571	35844678	intergenic	.	.	.	intergenic	35844571	35844678	108
chr17	35844571	35844747	intergenic	.	.	.	intergenic	35844571	35844747	177
chr17	35844571	35844906	intergenic	.	.	.	intergenic	35844571	35844906	336
chr17	35844571	35844771	intergenic	.	.	.	intergenic	35844571	35844771	201
chr19	3575559	3575640	intergenic	.	.	.	intergenic	3575559	3575640	82
chr19	5667112	5667148	intergenic	-	.	.	intergenic	5667112	5667148	37
chr19	10863150	10863222	intergenic	.	.	.	intergenic	10863150	10863222	73
chr19	55090921	55091135	intergenic	.	.	.	intergenic	55090921	55091135	215
chr14	20721660	20721721	intergenic	+	.	.	intergenic	20721660	20721721	62
chr14	54962962	54963020	intergenic	.	.	.	intergenic	54962962	54963020	59
chr14	75036212	75036254	intergenic	.	.	.	intergenic	75036212	75036254	43
chr14	103685819	103685862	intergenic	.	.	.	intergenic	103685819	103685862	44
chr12	89348450	89348567	intergenic	.	.	.	intergenic	89348450	89348567	118
chr15	44522729	44523028	intergenic	.	.	.	intergenic	44522729	44523028	300
chr7	19698339	19698403	intergenic	.	.	.	intergenic	19698339	19698403	65
chr7	43952852	43952895	intergenic	.	.	.	intergenic	43952852	43952895	44
chr7	80743715	80743792	intergenic	.	.	.	intergenic	80743715	80743792	78
chr7	130519295	130519355	intergenic	.	.	.	intergenic	130519295	130519355	61
chr7	130536912	130536982	intergenic	.	.	.	intergenic	130536912	130536982	71
chr7	141804415	141804609	intergenic	.	.	.	intergenic	141804415	141804609	195
chr14	24138154	24138236	intergenic	.	.	.	intergenic	24138154	24138236	83
chr19	4430575	4432054	intergenic	.	.	.	intergenic	4430575	4432054	1480
chr19	17585008	17586009	intergenic	.	.	.	intergenic	17585008	17586009	1002
chr19	44132945	44132999	intergenic	.	.	.	intergenic	44132945	44132999	55
chr19	57702177	57702344	intergenic	.	.	.	intergenic	57702177	57702344	168
chr1	20356706	20356793	intergenic	.	.	.	intergenic	20356706	20356793	88
chr1	39368256	39368299	intergenic	.	.	.	intergenic	39368256	39368299	44
chr1	160997741	160997822	intergenic	.	.	.	intergenic	160997741	160997822	82
chr1	182887532	182887671	intergenic	.	.	.	intergenic	182887532	182887671	140
chr6	47574225	47576562	intergenic	.	.	.	intergenic	47574225	47576562	2338
chr6	97156777	97156843	intergenic	.	.	.	intergenic	97156777	97156843	67
