chr	start	end	len
chr7	3338445	3339026	582
chr7	4101898	4102056	159
chr7	12489570	12490044	475
chr7	12770804	12775658	4855
chr7	14582992	14598451	15460
chr7	15920577	15922251	1675
chr7	15920588	15922251	1664
chr7	16152819	16157425	4607
chr7	16212809	16218950	6142
chr7	16883127	16883510	384
chr7	18942216	18950619	8404
chr7	27310181	27310787	607
chr7	27371874	27372375	502
chr7	27608623	27618319	9697
chr7	28322003	28323982	1980
chr7	28776858	28778990	2133
chr7	29338956	29388151	49196
chr7	29377496	29388151	10656
chr7	29383196	29388151	4956
chr7	34248107	34254084	5978
chr7	34351286	34375392	24107
chr7	34353390	34365737	12348
chr7	34353390	34371184	17795
chr7	34934682	34971703	37022
chr7	35293655	35297688	4034
chr7	35299221	35305988	6768
chr7	35305930	35310574	4645
chr7	35619315	35620662	1348
chr7	37567814	37569991	2178
chr7	42488470	42490276	1807
chr7	44316033	44316495	463
chr7	44354645	44356117	1473
chr7	44915841	44916470	630
chr7	44953747	44954487	741
chr7	45326563	45327895	1333
chr7	46515668	46635556	119889
chr7	46590607	46635556	44950
chr7	46614618	46635556	20939
chr7	46621561	46635556	13996
chr7	46775765	46777034	1270
chr7	46808537	46808879	343
chr7	46850178	46851058	881
chr7	46890922	46907177	16256
chr7	48799829	48805694	5866
chr7	49564071	49575820	11750
chr7	49791973	49848824	56852
chr7	49791973	49818110	26138
chr7	49791973	49829030	37058
chr7	50228792	50258265	29474
chr7	51887912	51926544	38633
chr7	51887912	51953301	65390
chr7	55075026	55075088	63
chr7	55167200	55211886	44687
chr7	55823520	55826321	2802
chr7	55896668	55898391	1724
chr7	56097377	56098486	1110
chr7	56100079	56106532	6454
chr7	56982625	56985163	2539
chr7	57452945	57490861	37917
chr7	57488802	57508138	19337
chr7	57765424	57792629	27206
chr7	57788866	57792629	3764
chr7	57788866	57816519	27654
chr7	57812054	57816519	4466
chr7	59240967	59247217	6251
chr7	61911363	61925420	14058
chr7	63615289	63650965	35677
chr7	63649609	63650965	1357
chr7	64695024	64696017	994
chr7	66125242	66125737	496
chr7	66908593	66915894	7302
chr7	67027807	67029720	1914
chr7	67070589	67078377	7789
chr7	67264865	67268400	3536
chr7	67529586	67559969	30384
chr7	67698224	67711503	13280
chr7	68003810	68004355	546
chr7	68164993	68173375	8383
chr7	73514090	73515812	1723
chr7	73514090	73519708	5619
chr7	75136298	75149088	12791
chr7	75156607	75206922	50316
chr7	75586157	75586340	184
chr7	78247155	78260414	13260
chr7	78356027	78462942	106916
chr7	78450887	78462942	12056
chr7	79294508	79297207	2700
chr7	80368506	80368650	145
chr7	80396929	80398928	2000
chr7	81349792	81436377	86586
chr7	81355875	81436377	80503
chr7	81372012	81436377	64366
chr7	81484426	81485109	684
chr7	81893799	81905636	11838
chr7	82273861	82285130	11270
chr7	82681352	82686764	5413
chr7	83636869	83637603	735
chr7	84262393	84275486	13094
chr7	84343742	84354567	10826
chr7	86756938	86763042	6105
chr7	87596116	87603201	7086
chr7	87803815	87804064	250
chr7	87803815	87975370	171556
chr7	88026424	88040109	13686
chr7	88074191	88075130	940
chr7	89243921	89307264	63344
chr7	89279967	89307264	27298
chr7	89955531	89962361	6831
chr7	90160448	90177603	17156
chr7	90160448	90165616	5169
chr7	90160448	90189257	28810
chr7	91449754	91810529	360776
chr7	91733091	91872500	139410
chr7	91733091	91733144	54
chr7	91810479	92088718	278240
chr7	92645990	92649575	3586
chr7	92645990	92665865	19876
chr7	92819983	92829709	9727
chr7	96703926	96729525	25600
chr7	96703926	96797505	93580
chr7	96729349	96778019	48671
chr7	96973482	97040036	66555
chr7	97023618	97040036	16419
chr7	97519048	97538020	18973
chr7	97705589	97716539	10951
chr7	97871575	97894013	22439
chr7	97871575	97889020	17446
chr7	97871575	97886472	14898
chr7	97883472	97894013	10542
chr7	98243949	98266247	22299
chr7	98243949	98259457	15509
chr7	98251890	98266247	14358
chr7	98610667	98621540	10874
chr7	98626466	98637520	11055
chr7	98979636	99004706	25071
chr7	99004580	99099473	94894
chr7	99065800	99099473	33674
chr7	99065800	99109097	43298
chr7	99935162	99955540	20379
chr7	100106563	100112372	5810
chr7	100354709	100355361	653
chr7	100628404	100631853	3450
chr7	100786804	100786891	88
chr7	101244121	101259773	15653
chr7	101250445	101271704	21260
chr7	101706483	101722833	16351
chr7	101706483	101763695	57213
chr7	102001660	102002294	635
chr7	102023312	102023413	102
chr7	102134564	102139650	5087
chr7	102138732	102139650	919
chr7	102157052	102163822	6771
chr7	102354501	102386201	31701
chr7	107502093	107506618	4526
chr7	109475052	109475959	908
chr7	110027071	110031766	4696
chr7	110124456	110130975	6520
chr7	110369392	110378134	8743
chr7	110399296	110442367	43072
chr7	110447014	110451961	4948
chr7	111554439	111556529	2091
chr7	112759384	112759639	256
chr7	112858154	112861556	3403
chr7	113274626	113287196	12571
chr7	113328339	113351938	23600
chr7	114058540	114060419	1880
chr7	114219526	114223347	3822
chr7	114226603	114227174	572
