chr	start	end	cjc_1	cjc_2	ljc_1	ljc_2	adj_cjc_len	adj_ljc_len	pbsi1	pbsi2	delta_pbsi	P	FDR
chr11	6598220	6598268	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,22,22,15,32,5,44,3,18,59,65,39,36,14,10,34,43,32,26,48,43,15,17,45,7,62,33,7,1,11,36,3,15,15,11,17,3,6,8,12,7,7,16,7,34,7,6,2,10,5	4,16,8,12,13,4,21,0,6,14,11,10,11,10,17,16,17,7,8,13,11,10,3,6,11,8,11,8,11,3,6,3,10,8,8,13,0,18,17,4,11,9,21,21,16,55,20,11,0,5	49	337	0.6044843049327354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847031963470319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0	0.019783750025595345	1.0	1.0
chr11	31802743	31802829	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,9,19,0,1708,94,1,247,3445,122,14,0,25,56,96,1327,82,1024,14,0,0,12,1,14,8,0,1,3,233,105,5,256,6,0,4,0,0,0,0,1,151,1,0,4,0,4,107,1	205,5,5,6,280,102,253,0,2,206,0,2,2,2,5,8,242,0,8,5,3,1,2,215,163,2,2,92,1,1,1,2,4,193,199,217,0,4,163,3,0,200,318,0,3,341,264,0,1,112	87	375	1.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0	0.02702702702702703	1.0	1.0
chr11	65855088	65855186	3,1,0,1,1,1,0,1,0,4,0,1,1,0,3,0,0,1,0,0,4,2,0,4,1,1,3,0,1,4,7,2,1,1,5,0,4,0,1,1,1,0,2,0,0,0,0,3,3,1	0,1,0,0,2,4,4,1,0,4,0,5,0,4,4,0,0,2,1,0,3,1,2,1,2,0,1,0,1,2,0,2,2,3,2,1,3,1,2,1,0,0,3,0,1,1,1,0,2,0	2939,4593,5377,5509,6579,3697,2743,151,3942,3519,2828,6974,855,4166,7855,7504,6463,2208,4553,2396,3505,3209,3906,2651,3120,4404,9031,3703,2155,2852,7521,1690,1235,2288,4066,2393,4730,2840,2342,2374,1982,1478,3463,2888,3543,3973,2914,4891,1748,4195	3352,2533,2552,3087,2400,3168,1311,385,4149,1258,3042,2617,1409,2975,2979,2560,1290,1462,4134,2565,1482,2302,4720,3323,3285,1389,2943,1653,2187,2881,1351,4950,4712,2142,2207,2149,362,2538,3317,4912,2228,3307,15846,1199,1299,4870,2385,2967,377,3147	99	387	0.003974366874114232,0.0008503737689357083,0.0,0.0007090795158470886,0.000593824228028561,0.0010562515352493529,0.0,0.025234741784037618,0.0,0.0044237545330623185,0.0,0.0005602094922938505,0.004551227773073596,0.0,0.001490743522777227,0.0,0.0,0.001767292754099703,0.0,0.0,0.004441345831073806,0.002430408365126535,0.0,0.005863702996624975,0.0012513459243954639,0.0008868356466682492,0.0012968734291746165,0.0,0.0018106787940037616,0.005452700989094672,0.0036251083919451865,0.004604840436924329,0.0031552685647195933,0.001705604696362717,0.0047840501991499584,0.0,0.0032948929159801743,0.0,0.0016663437318349406,0.0016439194097183085,0.0019684138246739424,0.0,0.0022525472118181122,0.0,0.0,0.0,0.0,0.0023919896161691545,0.006664255824766263,0.0009309777431367738	0.0,0.0015408872643876137,0.0,0.0,0.0032469984142565744,0.004911479154768639,0.011786472966490713,0.010051425899953226,0.0,0.01227694503925758,0.0,0.007413281842631458,0.0,0.005228440283308489,0.005221456543517244,0.0,0.0,0.005319148936170248,0.0009447019794802669,0.0,0.007851013328464496,0.0016952493593535012,0.0016536553474599813,0.0011749918023827854,0.0023743132436985226,0.0,0.0013265054294175904,0.0,0.001784232365145244,0.0027063599458727605,0.0,0.0015769400029338465,0.0016564582611040546,0.005445105736355593,0.0035299429462709586,0.0018157250232244682,0.03137922646558011,0.001537856299846263,0.0023514614606404693,0.0007951918631530219,0.0,0.0,0.000739530484134554,0.0,0.003000279095729752,0.0008020442803051697,0.0016363497983103992,0.0,0.020316560359083358,0.0	-0.0011551252179561634	1.0	1.0
chrX	37839369	37839438	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,66,32,1,36,54,201,17,30,227,277,53,129,0,2,62,13,151,16,171,619,50,32,73,39,690,110,61,15,5,18,6,8,3,14,22,19,9,12,13,13,21,10,7,31,17,5,18,3,12	2,21,32,25,7,8,6,7,15,3,25,28,13,11,11,27,5,11,16,24,14,22,13,3,6,11,11,11,33,10,13,17,21,6,3,4,4,24,6,12,24,4,28,9,9,16,4,12,6,3	70	358	0.12749287749287752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.002601895459038317	1.0	1.0
chrX	74079855	74079908	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,16,0,0,14,24,3,0,0,1,0,4,10,0,7,7,0,0,9,0,10,0,0,6,1,17,5,2,5,0,7,1,1,2,1,3,5,5,0,20,0,0,1,8,0	2,1,4,5,0,3,4,1,0,5,4,4,6,3,3,3,3,11,0,3,6,11,0,0,7,9,2,3,5,0,2,1,0,7,3,4,0,3,5,0,2,4,14,2,3,23,1,0,0,3	54	342	1.0,1.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,0.0,nan	0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0	0.06451612903225806	1.0	1.0
chrX	153725842	153725906	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	89,110,171,376,246,89,118,4,118,63,104,211,3,67,327,367,183,71,155,71,2,124,79,11,87,7,197,125,8,12,27,9,1,9,11,9,13,20,1,3,12,4,14,8,12,8,18,10,7,8	6,8,4,14,12,11,15,0,4,8,9,2,5,5,3,12,4,8,13,6,7,7,29,15,21,5,11,10,8,15,1,15,30,8,5,7,0,3,16,15,2,11,56,0,2,32,8,14,0,11	65	353	0.10876598366969648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0	0.0021753196733939294	1.0	1.0
chr15	79004297	79004468	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,4,0,0,2,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	172	460	1.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan	nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan	0.07692307692307693	1.0	1.0
chr15	82372300	82372389	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12980,16337,15954,14836,9560,18344,10310,538,13815,9861,9495,9950,4476,15775,2884,13362,11907,10759,8340,8685,5888,20024,10248,5496,13821,4630,10416,20189,728,1845,6698,1648,757,3381,3707,1397,4760,3112,1320,1307,689,1059,4581,1877,2389,3679,3197,4818,1613,4035	3202,1376,1344,1315,3359,3204,2784,216,4014,2876,1314,1525,573,1925,1858,1410,2782,1026,3742,1339,1078,1400,4442,3185,4341,561,1949,1643,1290,1945,577,4315,4439,2198,2188,2143,208,1410,4381,4969,1297,3190,14471,766,752,9252,3434,3166,215,3135	90	378	0.0003234700636158827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	6.469401272317654e-06	1.0	1.0
chr15	101708801	101708875	2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2	33,28,46,36,42,41,170,2,36,184,162,36,25,36,14,53,46,120,32,200,53,48,28,29,38,33,67,40,48,32,75,24,42,34,28,16,28,13,50,25,37,24,40,21,60,26,13,29,14,16	24,29,27,22,33,27,26,6,26,52,28,30,19,24,21,26,45,26,25,31,24,25,21,27,31,27,20,18,9,30,20,25,36,24,34,28,11,25,39,17,38,16,107,46,32,121,33,28,15,23	75	363	0.2268041237113403,0.0,0.0,0.0,0.0,0.0,0.0,0.7076023391812866,0.0,0.0,0.0,0.0,0.0,0.0,0.6335078534031413,0.3539736713798147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203020134228188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11567877629063095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.2874109263657958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569002123142251,0.3261455525606469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203020134228188,0.0,0.0,0.0,0.0,0.038461538461538436,0.0,0.0,0.0,0.2962056303549572	0.01664885807818101	1.0	1.0
chr16	24721992	24722084	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,6,0,0,10,5,0,15,0,0,0,0,8,0,13,13,2,0,5,1,14,0,0,3,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,6,0,0,0,0,0	0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0	93	381	0.8037974683544304,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,nan,0.0,nan,nan,nan,1.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan	nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan	0.09018987341772153	0.023605999397388278	0.30896087446581716
