chr	start	end
chr11	6598220	6598268
chr11	31802743	31802829
chr11	65855088	65855186
chrX	37839369	37839438
chrX	74079855	74079908
chrX	153725842	153725906
chr15	79004297	79004468
chr15	82372300	82372389
chr15	101708801	101708875
chr16	24721992	24722084
chr2	25231566	25231667
chr2	75661818	75661855
chr2	121337773	121337821
chr9	27328707	27328777
chr9	110171068	110171132
chr9	114597664	114597794
chr9	121784883	121785051
chr9	124353430	124353467
chr3	126597505	126597547
chr3	129280366	129280422
chr6	117907209	117907476
chr6	130052896	130052964
chr1	36428247	36428299
chr1	52464589	52464784
chr1	182887532	182887586
chr4	109710859	109710924
chr4	137521493	137521575
chr7	44104500	44104621
chr7	79459638	79459688
chr7	141655248	141655308
chr7	141841401	141841509
chr12	55410283	55410331
chr12	56591167	56591224
chr5	72203564	72203625
chr5	136988472	136988544
chr13	94448516	94448591
chr8	23087105	23087184
chr17	32929073	32929137
chr17	35011899	35011965
chr17	35844571	35844678
chr17	35844571	35844747
chr17	35844571	35844906
chr17	35844571	35844771
chr19	3575559	3575640
chr19	5667112	5667148
chr19	10863150	10863222
chr19	55090921	55091135
chr14	20721660	20721721
chr14	54962962	54963020
chr14	75036212	75036254
chr14	103685819	103685862
chr12	89348450	89348567
chr15	44522729	44523028
chr7	19698339	19698403
chr7	43952852	43952895
chr7	80743715	80743792
chr7	130519295	130519355
chr7	130536912	130536982
chr7	141804415	141804609
chr14	24138154	24138236
chr19	4430575	4432054
chr19	17585008	17586009
chr19	44132945	44132999
chr19	57702177	57702344
chr1	20356706	20356793
chr1	39368256	39368299
chr1	160997741	160997822
chr1	182887532	182887671
chr6	47574225	47576562
chr6	97156777	97156843
chr18	80137452	80137483
chr16	15700738	15700928
chr16	15700738	15700936
chr9	124353430	124353466
chr5	73555464	73555579
chr5	140689911	140689955
chr3	69027899	69027991
chr3	69027899	69027954
chr3	101576807	101576918
chr11	57189838	57189969
chr11	69651724	69651779
chr11	69651724	69651769
chr11	99022766	99022839
chr4	137521493	137521578
chr4	145128178	145128244
chr10	7807383	7807456
chr10	42318502	42318591
chr13	49432466	49432545
chr2	3497944	3498021
chr2	11755568	11755640
chr2	121337774	121337821
chr2	154857534	154857775
chr17	8388917	8388987
chr17	78842230	78842272
chr17	78972339	78972402
chr17	47650024	47650091
chr7	19698324	19698403
chr7	19698340	19698403
chr7	19698338	19698403
chr6	43523828	43523883
chr9	121766583	121766696
chr18	32412476	32412586
chr1	185297374	185297472
chr15	74544346	74544407
chr15	74955336	74955933
chr3	88058088	88058129
chr12	56734164	56738469
chr2	130359905	130359955
chr2	135741888	135754193
chr2	32947730	32947790
chr2	121337771	121337821
chrX	103609158	103609303
chr14	103571716	103571817
chr3	101594136	101594202
chr16	21976173	21976232
chr18	31962607	31962665
chr7	44468160	44468282
chr7	100498273	100498335
chr7	144452408	144452547
chr12	31282760	31282821
chr8	94488652	94488704
chr4	40164778	40164861
chr15	83137887	83138131
chr1	40465782	40465848
chr1	45331205	45331318
chr1	151796908	151797009
chr17	32225487	32225575
chr19	7682618	7682758
chr19	37315328	37315404
chr19	43966118	43966174
chr19	44069602	44069690
chr19	53383472	53383556
chr19	53943143	53943465
chr19	56377945	56378054
chr11	6398340	6398539
chr11	6403365	6403513
